SUBJECT	SESSION	BLOCK	TRIAL	x73KID	TIME	STIMCAT	RECOGBUTTON	RECOGISCORR	RECOGRT	REPBUTTON	REPRT	TLSESSEST	TLCONF	TLRT	
99	1	1	1	11097	737700.66283105127513	0	NaN	0	2.3668990135192871094	2	1.2838451862335205078	1276	0.73024691358024684806	1.1015594005584716797
99	1	1	2	21395	737700.66344106290489	0	NaN	1	1.1639590263366699219	NaN	NaN	NaN	NaN	NaN
99	1	1	3	25575	737700.66346942645032	2	NaN	0	0.71651911735534667969	NaN	NaN	NaN	NaN	NaN
99	1	1	4	70170	737700.66349257156253	1	NaN	1	0.64133286476135253906	2	1.7165381908416748047	203	0.58055555555555549141	2.4588186740875244141
99	1	1	5	18350	737700.66356703010388	1	NaN	0	2.0062260627746582031	NaN	NaN	NaN	NaN	NaN
99	1	1	6	66303	737700.66360523854382	0	NaN	1	1.6035311222076416016	NaN	NaN	NaN	NaN	NaN
99	1	1	7	42368	737700.66363858210389	2	NaN	0	2.6589648723602294922	NaN	NaN	NaN	NaN	NaN
99	1	1	8	11389	737700.66368429840077	0	NaN	1	1.6772370338439941406	NaN	NaN	NaN	NaN	NaN
99	1	1	9	22689	737700.66371863440145	2	NaN	0	2.2954308986663818359	NaN	NaN	NaN	NaN	NaN
99	1	1	10	48666	737700.66376010735985	1	NaN	0	3.0710568428039550781	NaN	NaN	NaN	NaN	NaN
99	1	1	11	45517	737700.66381045361049	2	NaN	0	1.2564849853515625	NaN	NaN	NaN	NaN	NaN
99	1	1	12	3389	737700.66383977315854	2	NaN	0	0.86121702194213867188	NaN	NaN	NaN	NaN	NaN
99	1	1	13	22009	737700.66386465833057	0	NaN	1	0.73304986953735351562	NaN	NaN	NaN	NaN	NaN
99	1	1	14	42564	737700.66388799762353	2	NaN	0	0.6765689849853515625	NaN	NaN	NaN	NaN	NaN
99	1	1	15	49699	737700.66391075844876	0	NaN	1	0.90256595611572265625	NaN	NaN	NaN	NaN	NaN
99	1	1	16	30865	737700.66393602709286	2	NaN	0	0.83876490592956542969	NaN	NaN	NaN	NaN	NaN
99	1	1	17	25670	737700.66396052460186	2	NaN	0	0.57291889190673828125	NaN	NaN	NaN	NaN	NaN
99	1	1	18	2614	737700.66398193489294	0	NaN	1	0.50412106513977050781	NaN	NaN	NaN	NaN	NaN
99	1	1	19	43421	737700.66400257579517	1	NaN	0	0.70774507522583007812	NaN	NaN	NaN	NaN	NaN
99	1	2	20	48688	737700.66408190620132	1	NaN	0	0.82825303077697753906	NaN	NaN	NaN	NaN	NaN
99	1	2	21	68722	737700.66410635504872	0	NaN	1	0.63450598716735839844	NaN	NaN	NaN	NaN	NaN
99	1	2	22	51045	737700.66412853950169	0	NaN	1	0.71810293197631835938	NaN	NaN	NaN	NaN	NaN
99	1	2	23	19174	737700.66415168647654	1	NaN	0	0.91823697090148925781	NaN	NaN	NaN	NaN	NaN
99	1	2	24	46039	737700.66417714720592	1	NaN	0	0.582759857177734375	NaN	NaN	NaN	NaN	NaN
99	1	2	25	66646	737700.66419875214342	1	NaN	0	0.70729112625122070312	NaN	NaN	NaN	NaN	NaN
99	1	2	26	61478	737700.66422170656733	2	NaN	0	0.42731714248657226562	NaN	NaN	NaN	NaN	NaN
99	1	2	27	35873	737700.66424157412257	1	NaN	0	0.63323998451232910156	NaN	NaN	NaN	NaN	NaN
99	1	2	28	39018	737700.66426375880837	2	NaN	0	0.6024608612060546875	NaN	NaN	NaN	NaN	NaN
99	1	2	29	69750	737700.66428555652965	0	NaN	1	0.8225860595703125	NaN	NaN	NaN	NaN	NaN
99	1	2	30	16912	737700.66430986043997	1	NaN	0	0.63450980186462402344	NaN	NaN	NaN	NaN	NaN
99	1	2	31	32000	737700.66433204466011	2	NaN	0	0.58981394767761230469	NaN	NaN	NaN	NaN	NaN
99	1	2	32	60941	737700.66435364983045	1	NaN	0	0.47684216499328613281	NaN	NaN	NaN	NaN	NaN
99	1	2	33	54723	737700.66437390260398	0	NaN	1	0.65313100814819335938	NaN	NaN	NaN	NaN	NaN
99	1	2	34	30416	737700.66439627856016	0	NaN	1	0.56798315048217773438	NaN	NaN	NaN	NaN	NaN
99	1	2	35	69667	737700.66441769036464	1	NaN	0	0.98328089714050292969	NaN	NaN	NaN	NaN	NaN
99	1	2	36	40968	737700.66444392316043	1	NaN	0	0.73922681808471679688	NaN	NaN	NaN	NaN	NaN
99	1	2	37	65268	737700.66446726256981	1	NaN	0	0.56456995010375976562	NaN	NaN	NaN	NaN	NaN
99	1	2	38	216	737700.66448867507279	2	NaN	0	0.54461693763732910156	NaN	NaN	NaN	NaN	NaN
99	1	2	39	25684	737700.66450989479199	0	NaN	1	0.81690907478332519531	NaN	NaN	NaN	NaN	NaN
99	1	3	40	59477	737700.66460422764067	0	NaN	1	1.5303008556365966797	NaN	NaN	NaN	NaN	NaN
99	1	3	41	60441	737700.66463681659661	2	NaN	0	0.6436939239501953125	NaN	NaN	NaN	NaN	NaN
99	1	3	42	42464	737700.66465900221374	0	NaN	1	0.95018506050109863281	NaN	NaN	NaN	NaN	NaN
99	1	3	43	34166	737700.66468485072255	2	NaN	0	0.73047494888305664062	NaN	NaN	NaN	NaN	NaN
99	1	3	44	31341	737700.66470819013193	2	NaN	0	0.86581587791442871094	NaN	NaN	NaN	NaN	NaN
99	1	3	45	70838	737700.66473307344131	0	NaN	1	0.77990102767944335938	NaN	NaN	NaN	NaN	NaN
99	1	3	46	34245	737700.66475699248258	0	NaN	1	0.71322894096374511719	NaN	NaN	NaN	NaN	NaN
99	1	3	47	51149	737700.66478014015593	2	NaN	0	0.681301116943359375	NaN	NaN	NaN	NaN	NaN
99	1	3	48	22102	737700.66480290249456	2	NaN	0	1.7647750377655029297	NaN	NaN	NaN	NaN	NaN
99	1	3	49	67704	737700.66483820450958	2	NaN	0	2.1442801952362060547	NaN	NaN	NaN	NaN	NaN
99	1	3	50	47704	737700.66487793962006	0	NaN	1	0.62319898605346679688	NaN	NaN	NaN	NaN	NaN
99	1	3	51	13243	737700.6648999286117	0	NaN	1	0.65133190155029296875	NaN	NaN	NaN	NaN	NaN
99	1	3	52	39272	737700.66492230375297	2	NaN	0	0.74255490303039550781	NaN	NaN	NaN	NaN	NaN
99	1	3	53	14147	737700.66494564537425	1	NaN	0	0.42224907875061035156	NaN	NaN	NaN	NaN	NaN
99	1	3	54	40791	737700.6649653193308	1	NaN	0	1.5454311370849609375	NaN	NaN	NaN	NaN	NaN
99	1	3	55	40602	737700.66499811247922	2	NaN	0	0.95202493667602539062	NaN	NaN	NaN	NaN	NaN
99	1	3	56	47833	737700.66502396319993	0	NaN	1	0.51037812232971191406	NaN	NaN	NaN	NaN	NaN
99	1	3	57	48654	737700.66504479409195	1	NaN	0	0.72718286514282226562	NaN	NaN	NaN	NaN	NaN
99	1	3	58	30272	737700.6650681369938	0	NaN	1	0.430233001708984375	NaN	NaN	NaN	NaN	NaN
99	1	3	59	2298	737700.66508800419979	2	NaN	0	0.74508213996887207031	NaN	NaN	NaN	NaN	NaN
99	1	4	60	63702	737700.66514163056854	1	NaN	0	0.42571401596069335938	NaN	NaN	NaN	NaN	NaN
99	1	4	61	24902	737700.66516130161472	1	NaN	0	0.5266780853271484375	NaN	NaN	NaN	NaN	NaN
99	1	4	62	68312	737700.66518213646486	2	NaN	0	0.57290196418762207031	NaN	NaN	NaN	NaN	NaN
99	1	4	63	35121	737700.66520354652312	0	NaN	1	0.56991505622863769531	NaN	NaN	NaN	NaN	NaN
99	1	4	64	5504	737700.66522495937534	2	NaN	0	0.46445488929748535156	NaN	NaN	NaN	NaN	NaN
99	1	4	65	44949	737700.66524521273095	1	NaN	0	0.58694291114807128906	NaN	NaN	NaN	NaN	NaN
99	1	4	66	9623	737700.66526681825053	1	NaN	0	0.38312315940856933594	NaN	NaN	NaN	NaN	NaN
99	1	4	67	25234	737700.66528610745445	1	NaN	0	0.60449290275573730469	NaN	NaN	NaN	NaN	NaN
99	1	4	68	28700	737700.66530790331308	0	NaN	1	0.45066905021667480469	NaN	NaN	NaN	NaN	NaN
99	1	4	69	11168	737700.66532796330284	2	NaN	0	0.40785288810729980469	NaN	NaN	NaN	NaN	NaN
99	1	4	70	66579	737700.66534744761884	1	NaN	0	0.33232712745666503906	NaN	NaN	NaN	NaN	NaN
99	1	4	71	20870	737700.66536615882069	2	NaN	0	0.36035490036010742188	NaN	NaN	NaN	NaN	NaN
99	1	4	72	50360	737700.66538525617216	2	NaN	0	0.66182613372802734375	NaN	NaN	NaN	NaN	NaN
99	1	4	73	59759	737700.66540782421362	1	NaN	0	0.59987211227416992188	NaN	NaN	NaN	NaN	NaN
99	1	4	74	65873	737700.66542962053791	2	NaN	0	0.504364013671875	NaN	NaN	NaN	NaN	NaN
99	1	4	75	18597	737700.66545026306994	2	NaN	0	0.49362611770629882812	NaN	NaN	NaN	NaN	NaN
99	1	4	76	27213	737700.66547090257518	1	NaN	0	0.63056683540344238281	NaN	NaN	NaN	NaN	NaN
99	1	4	77	67313	737700.66549308551475	1	NaN	0	0.50503396987915039062	NaN	NaN	NaN	NaN	NaN
